"","ML_dec_reindex.term","ML_dec_reindex.estimate","ML_dec_reindex.std.error","ML_dec_reindex.statistic","ML_dec_reindex.p.value","ML_dec_reindex.conf.low","ML_dec_reindex.conf.high","ML_dec_oxfamindex.term","ML_dec_oxfamindex.estimate","ML_dec_oxfamindex.std.error","ML_dec_oxfamindex.statistic","ML_dec_oxfamindex.p.value","ML_dec_oxfamindex.conf.low","ML_dec_oxfamindex.conf.high","ML_decearn.term","ML_decearn.estimate","ML_decearn.std.error","ML_decearn.statistic","ML_decearn.p.value","ML_decearn.conf.low","ML_decearn.conf.high","ML_decuse.term","ML_decuse.estimate","ML_decuse.std.error","ML_decuse.statistic","ML_decuse.p.value","ML_decuse.conf.low","ML_decuse.conf.high","ML_decspouse.term","ML_decspouse.estimate","ML_decspouse.std.error","ML_decspouse.statistic","ML_decspouse.p.value","ML_decspouse.conf.low","ML_decspouse.conf.high","ML_decmajor.term","ML_decmajor.estimate","ML_decmajor.std.error","ML_decmajor.statistic","ML_decmajor.p.value","ML_decmajor.conf.low","ML_decmajor.conf.high","ML_decminor.term","ML_decminor.estimate","ML_decminor.std.error","ML_decminor.statistic","ML_decminor.p.value","ML_decminor.conf.low","ML_decminor.conf.high","ML_decresp.term","ML_decresp.estimate","ML_decresp.std.error","ML_decresp.statistic","ML_decresp.p.value","ML_decresp.conf.low","ML_decresp.conf.high","ML_decagric.term","ML_decagric.estimate","ML_decagric.std.error","ML_decagric.statistic","ML_decagric.p.value","ML_decagric.conf.low","ML_decagric.conf.high","ML_dechealthself.term","ML_dechealthself.estimate","ML_dechealthself.std.error","ML_dechealthself.statistic","ML_dechealthself.p.value","ML_dechealthself.conf.low","ML_dechealthself.conf.high","ML_dechealthchild.term","ML_dechealthchild.estimate","ML_dechealthchild.std.error","ML_dechealthchild.statistic","ML_dechealthchild.p.value","ML_dechealthchild.conf.low","ML_dechealthchild.conf.high","ML_declimit.term","ML_declimit.estimate","ML_declimit.std.error","ML_declimit.statistic","ML_declimit.p.value","ML_declimit.conf.low","ML_declimit.conf.high","ML_decvisits.term","ML_decvisits.estimate","ML_decvisits.std.error","ML_decvisits.statistic","ML_decvisits.p.value","ML_decvisits.conf.low","ML_decvisits.conf.high"
"1","(Intercept)",-67.8639774633263,13.497116783661,-5.02803513899202,5.39442369387418e-07,-94.3337635966563,-41.3941913299962,"(Intercept)",-62.6823249884988,13.4332379641957,-4.66621116633004,3.26724848031924e-06,-89.0266179264972,-36.3380320505004,"(Intercept)",0.133730213690431,0.0659145060291988,2.02884344807486,0.0426005948816126,0.00446540377753596,0.262995023603326,"(Intercept)",0.967239142792434,0.0232439648417017,41.6124851925918,7.57386718740419e-275,0.921654882040586,1.01282340354428,"(Intercept)",0.125864640280942,0.0636250145432331,1.97822572119676,0.0480345029112206,0.00108957479518003,0.250639705766703,"(Intercept)",0.339564583078095,0.0658795622416786,5.15432360999007,2.78480058907432e-07,0.210368265625416,0.468760900530773,"(Intercept)",0.813279918395464,0.044730090658636,18.1819420980415,1.04798663369593e-68,0.725559848611092,0.900999988179836,"(Intercept)",0.668266169736411,0.0516881920829967,12.9287975223309,7.64558340394277e-37,0.566900584516585,0.769631754956237,"(Intercept)",0.371324589199764,0.0663917205305272,5.59293517674432,2.52481732195654e-08,0.241123950831105,0.501525227568423,"(Intercept)",0.802497944545464,0.0485860822661246,16.5170334201855,1.05201016849702e-57,0.707215899189027,0.897779989901901,"(Intercept)",0.739988717678184,0.0507920741589787,14.5689801003603,7.22692076062368e-46,0.640380424444901,0.839597010911466,"(Intercept)",0.804375392069614,0.0430139228882662,18.7003495161107,3.24286928355053e-72,0.720020209512762,0.888730574626466,"(Intercept)",0.65282754867883,0.0568312160272141,11.4871296853162,1.16205538143155e-29,0.541375961169061,0.7642791361886
"2","treat_workshop",6.85821877593493,4.43032918939296,1.54801561751998,0.121775805048501,-1.83029359475471,15.5467311466246,"treat_workshop",6.91637975563881,4.40450024635438,1.57029841498216,0.116500783357021,-1.72140698235508,15.5541664936327,"treat_workshop",0.0139565689181091,0.0215966851074475,0.646236626068887,0.518196973128951,-0.0283966483528538,0.056309786189072,"treat_workshop",0.00263941528782859,0.00761230348835423,0.346730170685723,0.728829645774921,-0.0122892438070601,0.0175680743827172,"treat_workshop",0.0593659160394324,0.0208586798201187,2.84610131376447,0.00446901641716624,0.0184599428276957,0.100271889251169,"treat_workshop",0.0229012987092945,0.0215891347397536,1.06077890500747,0.288912839937909,-0.0194371232603835,0.0652397206789726,"treat_workshop",0.00440543597158347,0.0146517095618002,0.300677265885019,0.763690455457573,-0.024327995289042,0.033138867232209,"treat_workshop",-0.00672092432196362,0.0169308929855341,-0.396962187860145,0.691435797768795,-0.0399240565386441,0.0264822078947168,"treat_workshop",-0.00177776076761949,0.0217471548167695,-0.0817468207955478,0.934855857806599,-0.0444260521090602,0.0408705305738212,"treat_workshop",0.0124729312239857,0.0159147713681539,0.783732982111482,0.433285442464862,-0.0187374874105505,0.0436833498585219,"treat_workshop",0.00968257300211419,0.0166446310766046,0.581723497357887,0.560815647939415,-0.0229591987800125,0.0423243447842409,"treat_workshop",0.00454385521549101,0.0141076935947437,0.322083491888708,0.747422045679604,-0.0231229323902813,0.0322106428212634,"treat_workshop",0.0181317042053414,0.018618011737542,0.973879727918525,0.330228798849278,-0.0183800424979309,0.0546434509086136
"3","BL_polyghh",1.18705123578493,4.75106646456627,0.249849427415513,0.8027293002153,-8.13047303536498,10.5045755069348,"BL_polyghh",0.263175914259243,4.72426234472323,0.0557073030783732,0.955580436679574,-9.00170508145201,9.5280569099705,"BL_polyghh",-0.00739179255515063,0.0231724922224865,-0.318989968113039,0.74976595090686,-0.0528353221026657,0.0380517369923645,"BL_polyghh",-0.00299521062597714,0.00816188726318395,-0.3669752508697,0.713675373100616,-0.019001670787398,0.0130112495354437,"BL_polyghh",-0.0384026898311871,0.022392940222867,-1.71494629329522,0.086503451481437,-0.0823175023115583,0.0055121226491841,"BL_polyghh",0.0205209439923519,0.0231645464314986,0.885877219872866,0.375785508843172,-0.0249070156445419,0.0659489036292456,"BL_polyghh",0.0353049364111969,0.0157237070759313,2.24533160282788,0.0248508048269975,0.00446921348597572,0.0661406593364181,"BL_polyghh",0.00397912985134452,0.0181696477612795,0.218998733691704,0.826672376853642,-0.0316533212818431,0.0396115809845321,"BL_polyghh",0.0114815388014316,0.0233382930934784,0.491961376757238,0.622798215459198,-0.034287129865749,0.0572502074686121,"BL_polyghh",-0.0141740935941484,0.0170791812462412,-0.829904747176788,0.40668724077166,-0.0476680335508958,0.019319846362599,"BL_polyghh",-0.0157575558719236,0.0178590192928792,-0.882330413193877,0.377699572325996,-0.0507808633473381,0.019265751603491,"BL_polyghh",0.00973676200003925,0.015136955001983,0.643244430518799,0.520136928886404,-0.0199485239912892,0.0394220479913676,"BL_polyghh",0.0240052784575159,0.019978754387804,1.20154029583395,0.2296776247863,-0.0151750180176163,0.0631855749326481
"4","BL_block_num_bin",4.09251525829089,4.5707715606302,0.895366395805313,0.370698360251014,-4.87142479004972,13.0564553066315,"BL_block_num_bin",3.51856221749053,4.55122771153494,0.773101773961527,0.43955171844225,-5.40697579350764,12.4441002284887,"BL_block_num_bin",-0.00151020193709844,0.0222991610891813,-0.0677246077132083,0.946011328942927,-0.0452410434931764,0.0422206396189796,"BL_block_num_bin",0.00187262564783538,0.00786601572498535,0.238065332349545,0.811854226096714,-0.0135535942044064,0.0172988455000772,"BL_block_num_bin",-0.00423165364367433,0.0215327282531754,-0.196521945288112,0.844220782836187,-0.0464595037615148,0.0379961964741662,"BL_block_num_bin",-1.74443924079675e-05,0.0222975887948116,-0.000782344340838622,0.99937585418459,-0.0437452146194733,0.0437103258346573,"BL_block_num_bin",0.0201534298871753,0.0151263326771646,1.33234078063084,0.18289320414548,-0.00951078358712329,0.049817643361474,"BL_block_num_bin",0.0325197545959312,0.017479347289846,1.86046733076941,0.0629595271557745,-0.00175894999584084,0.0667984591877033,"BL_block_num_bin",0.0119405345633045,0.0224516256722633,0.531833851927074,0.594897490593721,-0.0320892928245658,0.0559703619511749,"BL_block_num_bin",-0.00513885399051666,0.0164303097314558,-0.312766714353432,0.754489050467645,-0.0373602936299172,0.0270825856488839,"BL_block_num_bin",0.00778947652725779,0.0171801610232565,0.45339950636745,0.650308138617724,-0.025902522575658,0.0414814756301736,"BL_block_num_bin",-0.0110438612532537,0.0145455870654332,-0.759258543747529,0.447784570485341,-0.0395694076324684,0.017481685125961,"BL_block_num_bin",0.0184542645174266,0.0192208181659468,0.960118573418572,0.337106440610006,-0.0192396447032662,0.0561481737381195
"5","BL_readwrite_w",0.968819270458828,6.00442557036067,0.161350866807503,0.871833261746046,-10.8067223691709,12.7443609100886,"BL_readwrite_w",-0.979717429316178,5.97836579654451,-0.163877130081678,0.869844104984722,-12.7040552438074,10.744620385175,"BL_readwrite_w",0.0290262684814974,0.0292906363440394,0.990974321642016,0.321812666899029,-0.0284155416348183,0.0864680785978132,"BL_readwrite_w",0.006537971782779,0.0103251343217665,0.633209368424027,0.526667593921796,-0.0137108807011504,0.0267868242667084,"BL_readwrite_w",0.0123365037687894,0.0282945614006087,0.436002650619776,0.662879878951865,-0.0431519825914442,0.0678249901290229,"BL_readwrite_w",0.0238695998420468,0.0292830386864648,0.815133979011536,0.415088411273341,-0.033557326406138,0.0812965260902316,"BL_readwrite_w",-0.0363662315326773,0.0198634056209007,-1.83081553217702,0.0672701182543972,-0.0753203070009838,0.00258784393562925,"BL_readwrite_w",0.0338720045574648,0.0229533074947472,1.47569166514309,0.140177029599273,-0.0111416698074594,0.0788856789223889,"BL_readwrite_w",0.000286772080528536,0.0294827409323108,0.00972677815766634,0.992240202801829,-0.0575317579947633,0.0581053021558203,"BL_readwrite_w",-0.0256875126503327,0.0215757456640914,-1.19057357508086,0.233955978128287,-0.0679996539278412,0.0166246286271757,"BL_readwrite_w",-0.0333501250376596,0.0225601862201534,-1.47827348197451,0.1394852033885,-0.0775928869571836,0.0108926368818644,"BL_readwrite_w",0.00713586121011821,0.0190986733232645,0.373631251204546,0.708717034215485,-0.0303188038517643,0.0445905262720007,"BL_readwrite_w",-0.00678450438926108,0.0252525520829598,-0.268666088360994,0.788213128451444,-0.05630723529425,0.0427382265157278
"6","BL_marriagelength_bin",4.77246115304003,4.68107702642093,1.0195220301019,0.308077772508632,-4.40780376939166,13.9527260754717,"BL_marriagelength_bin",3.31374698607179,4.6610816126743,0.71093949032369,0.477203006929942,-5.8272285359502,12.4547225080938,"BL_marriagelength_bin",0.0226171536303436,0.0228186058237715,0.991171581866849,0.32171637532576,-0.0221323699871202,0.0673666772478075,"BL_marriagelength_bin",0.00746261854829307,0.00804895943360193,0.927153206554741,0.353956188433476,-0.0083223763138613,0.0232476134104474,"BL_marriagelength_bin",-0.00674851638394075,0.0220506277267733,-0.30604645217183,0.75959978863569,-0.0499920195620931,0.0364949867942116,"BL_marriagelength_bin",0.0214187690295431,0.0228127244740314,0.938895705066917,0.347892681108613,-0.0233192330581945,0.0661567711172807,"BL_marriagelength_bin",0.00436912012989125,0.0154827234651741,0.282193254934694,0.777823217329197,-0.0259940104343209,0.0347322506941034,"BL_marriagelength_bin",0.0139137229991654,0.0178911773406239,0.777686271521815,0.436841840172658,-0.0211726204831522,0.0490000664814829,"BL_marriagelength_bin",0.0185991189100829,0.022980607332009,0.809339746394636,0.418411701266389,-0.0264680930979456,0.0636663309181114,"BL_marriagelength_bin",-0.0330875140509713,0.0168174234593771,-1.96745441600464,0.0492626560274594,-0.0660681214615014,-0.000106906640441225,"BL_marriagelength_bin",-0.021930447816165,0.0175878977172157,-1.24690558068794,0.212571770453353,-0.0564220590012087,0.0125611633688788,"BL_marriagelength_bin",0.00734452997844643,0.0148859631519304,0.493386279643854,0.621792140800334,-0.021848532520817,0.0365375924777099,"BL_marriagelength_bin",0.0491270631123256,0.0196765477974974,2.4967318260256,0.0126107050184398,0.0105394233952234,0.0877147028294279
"7","BL_WH_dummy",-10.6582456572409,4.80111092984294,-2.21995405084081,0.0265329625489356,-20.0739143183567,-1.24257699612517,"BL_WH_dummy",-13.3413553520047,4.77704899212114,-2.79280270602391,0.00527411120400128,-22.7097576957313,-3.97295300827803,"BL_WH_dummy",-0.0335821858341943,0.023331417515136,-1.43935471612079,0.150199582711435,-0.0793373834648409,0.0121730117964524,"BL_WH_dummy",-0.0220548644565551,0.00825328197775944,-2.67225383986487,0.00759406787556368,-0.0382405608424722,-0.00586916807063807,"BL_WH_dummy",-0.0320059066366198,0.0225429580410801,-1.41977404111276,0.155822754155575,-0.0762149191769195,0.01220310590368,"BL_WH_dummy",-0.0366449088050307,0.0233199770807747,-1.57139557548027,0.116242014549365,-0.0823776832710225,0.00908786566096111,"BL_WH_dummy",-0.0200006982038047,0.0158321360435086,-1.26329752023608,0.20662291271045,-0.0510490609082543,0.011047664500645,"BL_WH_dummy",0.0178028350322747,0.0182949436688211,0.973101385527354,0.330615308091007,-0.018075333594247,0.0536810036587964,"BL_WH_dummy",-0.0113030738296176,0.0234992314150155,-0.480997596474376,0.630568459783478,-0.0573873582397652,0.03478121058053,"BL_WH_dummy",-0.0323435682939225,0.0171969574157317,-1.88077271531385,0.0601415086318616,-0.0660684788043737,0.00138134221652864,"BL_WH_dummy",-0.0365956589974992,0.0179767711951076,-2.03571924014134,0.0419043856843293,-0.0718498896277593,-0.00134142836723915,"BL_WH_dummy",0.0010144247909272,0.0152287975433368,0.0666122711291184,0.946896824825161,-0.0288509748431979,0.0308798244250523,"BL_WH_dummy",-0.0351353942341894,0.0201261375013225,-1.74575942511973,0.0809994912038374,-0.0746047234473489,0.00433393497897015
"8","BL_any_selfish_ineff",10.2762404386506,4.64652998378757,2.21159456078104,0.0271067116582749,1.16372723273003,19.3887536445711,"BL_any_selfish_ineff",11.2654986719142,4.62054524032424,2.4381318840033,0.0148482196718723,2.20402014612503,20.3269771977034,"BL_any_selfish_ineff",0.0140911096698575,0.0226547517483595,0.621993559072122,0.534013850102423,-0.0303370800381601,0.0585192993778751,"BL_any_selfish_ineff",0.00710115568129098,0.00798739783523328,0.889044946524012,0.374083283622411,-0.00856310934963845,0.0227654207122204,"BL_any_selfish_ineff",0.0122238418365749,0.0218759286083508,0.558780477639183,0.57637146693066,-0.0306770587646199,0.0551247424377697,"BL_any_selfish_ineff",0.039321480622562,0.0226450228709011,1.73642927396158,0.0826351717280449,-0.00508764208562125,0.0837306033307453,"BL_any_selfish_ineff",0.0118238514912796,0.0153720007602395,0.769181037374302,0.441872594278866,-0.0183221410510649,0.041969844033624,"BL_any_selfish_ineff",0.00347712527406704,0.0177632308876581,0.195748470312512,0.844826037016669,-0.031358302736863,0.0383125532849971,"BL_any_selfish_ineff",0.0495660080191613,0.0228162644752394,2.17239803092882,0.0299374944546847,0.00482108837969531,0.0943109276586272,"BL_any_selfish_ineff",0.032281100877395,0.0166971558191495,1.93332931830059,0.0533302920349991,-0.000463649962351917,0.065025851717142,"BL_any_selfish_ineff",0.0229289674212149,0.0174622618506536,1.31305827488532,0.189307389126333,-0.0113162593732649,0.0571741942156947,"BL_any_selfish_ineff",0.0152201777116662,0.0147953910537503,1.02871074217456,0.303736096899192,-0.0137952626279912,0.0442356180513237,"BL_any_selfish_ineff",0.0403122691845829,0.0195330401347517,2.06379902495886,0.0391597876030755,0.00200606206651485,0.0786184763026509
"9","BL_read_write_self_h",14.5025426295399,6.25319554967767,2.31922103096352,0.0204827497708635,2.23912730144323,26.7659579576366,"BL_read_write_self_h",12.6188678071737,6.22603196443122,2.02679136234189,0.0428135914521032,0.408825049836318,24.8289105645111,"BL_read_write_self_h",0.0330591438941021,0.03055984079575,1.08178390440763,0.279473180918849,-0.0268717006104603,0.0929899883986645,"BL_read_write_self_h",0.0128395077648001,0.010764107203314,1.1928074964589,0.23308287944208,-0.00827022428213529,0.0339492398117355,"BL_read_write_self_h",-0.0120932671588415,0.0294890091902564,-0.410094048288246,0.681779030452527,-0.0699241860079721,0.045737651690289,"BL_read_write_self_h",0.0621531692585897,0.0305433926423892,2.03491373686928,0.041985399234931,0.00225456462864837,0.122051773888531,"BL_read_write_self_h",0.019534133735217,0.020736860334549,0.942000544926843,0.346301021466332,-0.0211328716043802,0.0602011390748142,"BL_read_write_self_h",0.0366492453785176,0.0239626346467845,1.52943304935943,0.126308164134766,-0.0103438179594285,0.0836423087164637,"BL_read_write_self_h",0.00899755961767515,0.0307791872482186,0.29232609506919,0.770066268774649,-0.0513634281103638,0.0693585473457141,"BL_read_write_self_h",0.0479281074125383,0.0225244972080335,2.12782141016868,0.0334684097978677,0.00375537183671351,0.0921008429883631,"BL_read_write_self_h",0.0441948921276762,0.0235445747045092,1.87707328258565,0.0606471805167172,-0.00197835320739554,0.0903681374627479,"BL_read_write_self_h",0.0217233202430687,0.0199329883671491,1.08981753477919,0.27592068533943,-0.0173675312698759,0.0608141717560133,"BL_read_write_self_h",0.0249594544356625,0.026383066907095,0.946040675390563,0.344237042837355,-0.026780326897965,0.07669923576929
"10","BL_highesteduc_w",0.781752731092913,0.245658701107479,3.18227169470739,0.00148354309835186,0.299980706420332,1.26352475576549,"BL_highesteduc_w",0.813004143925195,0.244619613379668,3.32354439078992,0.000904530732642389,0.333273883028286,1.2927344048221,"BL_highesteduc_w",0.00399279941273762,0.00119855389125109,3.33134741948885,0.000879292366029207,0.0016423177015601,0.00634328112391514,"BL_highesteduc_w",2.37989992941368e-05,0.000422781672249978,0.0562914640255863,0.955115107102065,-0.000805327620032415,0.000852925618620689,"BL_highesteduc_w",0.00219001906425122,0.00115749997419611,1.89202515168278,0.0586258702437739,-7.99550350387619e-05,0.0044599931635412,"BL_highesteduc_w",0.00297933770093419,0.00119815938416304,2.48659547328535,0.012974655117116,0.000629629006948637,0.00532904639491974,"BL_highesteduc_w",0.00158747707743244,0.000813320786636372,1.95184618851034,0.0510895988069454,-7.52429882899699e-06,0.00318247845369387,"BL_highesteduc_w",0.00033418422379927,0.0009398389412081,0.355576055797069,0.722193892361313,-0.00150893159141377,0.00217730003901231,"BL_highesteduc_w",0.000699713023495013,0.00120719107815189,0.57962077102675,0.562232735153625,-0.00166770640399301,0.00306713245098304,"BL_highesteduc_w",0.00300237723416165,0.000883433725852166,3.3985313740038,0.000690171568346992,0.0012698775468028,0.00473487692152051,"BL_highesteduc_w",0.00223359258461215,0.000923762329814645,2.41792992907638,0.0156940626707438,0.000422003068932337,0.00404518210029197,"BL_highesteduc_w",0.000898795867172095,0.000781873275006305,1.149541614867,0.250465835862307,-0.000634546325791951,0.00243213806013614,"BL_highesteduc_w",0.0015661647894224,0.00103367943373292,1.51513587125025,0.129888997083833,-0.000460981942939741,0.00359331152178454
