"","Variable","PValue"
"173","BL_dec_spouse_w","0.409"
"174","BL_dec_healthself_h","0.139"
"175","BL_dec_healthself_w","0.205"
"176","BL_dec_healthchild_h","0.626"
"177","BL_dec_healthchild_w","0.539"
"178","BL_dec_major_h","0.559"
"179","BL_dec_major_w","0.069"
"180","BL_dec_minor_h","0.321"
"181","BL_dec_minor_w","0.277"
"182","BL_dec_visits_h","0.282"
"183","BL_dec_visits_w","0.415"
"184","BL_marqual1_h","0.682"
"185","BL_marqual2_h","0.188"
"186","BL_marqual3_h","0.69"
"187","BL_marqual4_h","0.57"
"188","BL_marqual9_h","0.483"
"189","BL_marqual10_h","0.577"
"190","BL_marqual1_w","0.278"
"191","BL_marqual2_w","0.147"
"192","BL_marqual3_w","0.368"
"193","BL_marqual4_w","0.057"
"194","BL_marqual9_w","0.275"
"195","BL_marqual10_w","0.475"
"196","BL_dv_ever_w","0.836"
"197","BL_dv_freq_male_h","0.894"
"198","BL_dv_freq_female_w","0.77"
"199","BL_dv_reg_w","0.451"
"200","BL_ent_profit_1","0.212"
"201","BL_ent_profit_2","0.87"
"202","BL_ent_profit_3","0.07"
"203","BL_ent_profit_4","0.763"
"204","BL_crop_name_5","0.767"
"205","BL_crop_name_6","0.665"
"206","BL_crop_name_7","0.617"
"207","BL_crop_name_8","0.091"
"208","BL_crop_name_9","0.901"
"209","BL_crop_name_10","0.115"
"210","BL_crop_name_11","0.761"
"211","BL_crop_fert","0.934"
"212","BL_crop_pest","0.597"
"213","BL_crop_hire_amt","0.931"
"214","BL_crop_harv_quant_5","0.821"
"215","BL_crop_harv_quant_6","0.229"
"216","BL_crop_harv_quant_7","0.847"
"217","BL_crop_harv_quant_8","0.259"
"218","BL_crop_harv_quant_9","0.939"
"219","BL_crop_harv_quant_10","0.598"
"220","BL_crop_harv_quant_11","0.19"
"221","BL_crop_sold_quant_5","0.696"
"222","BL_crop_sold_quant_6","0.779"
"223","BL_crop_sold_quant_7","0.271"
"224","BL_crop_sold_quant_8","0.528"
"225","BL_crop_sold_quant_9","0.51"
"226","BL_crop_sold_quant_10","0.622"
"227","BL_crop_value_5","0.051"
"228","BL_crop_value_6","0.503"
"229","BL_crop_value_7","0.665"
"230","BL_crop_value_8","0.572"
"231","BL_crop_value_9","0.219"
"232","BL_crop_value_10","0.261"
"233","BL_crop_dec_resp_5","0.997"
"234","BL_crop_dec_resp_6","0.247"
"235","BL_crop_dec_resp_7","0.782"
"236","BL_crop_dec_resp_6","0.286"
"237","BL_crop_dec_resp_7","0.804"
"238","BL_crop_dec_resp_8","0.284"
"239","BL_crop_dec_resp_9","0.463"
"240","BL_crop_dec_resp_10","0.578"
"241","BL_crop_dec_resp_11","0.495"
"242","BL_crop_sales_resp_5","0.61"
"243","BL_crop_sales_resp_6","0.033"
"244","BL_crop_sales_resp_7","0.273"
"245","BL_crop_sales_resp_8","0.282"
"246","BL_crop_sales_resp_9","0.938"
"247","BL_crop_sales_resp_10","0.811"
"248","BL_crop_sales_resp_11","0.707"
"249","BL_school_child_2","0.5"
"250","BL_school_child_3","0.642"
"251","BL_school_child_4","0.323"
"252","BL_school_child_5","0.171"
"253","BL_school_child_6","0.437"
"254","BL_school_child_7","0.422"
"255","BL_school_child_8","0.234"
"256","BL_school_child_9","0.803"
"257","BL_school_child_10","0.563"
"258","BL_school_child_11","0.784"
"259","BL_spend_total_ed_2","0.866"
"260","BL_spend_total_ed_3","0.374"
"261","BL_spend_total_ed_4","0.258"
"262","BL_spend_total_ed_5","0.827"
"263","BL_spend_total_ed_6","0.162"
"264","BL_spend_total_ed_7","0.614"
"265","BL_spend_total_ed_8","0.055"
"266","BL_spend_total_ed_9","0.347"
"267","BL_spend_total_ed_10","0.065"
"268","BL_spend_total_ed_11","0.207"
"269","BL_wife_arrange_1","0.586"
"270","BL_wife_arrange_2","0.434"
"271","BL_wife_arrange_3","0.194"
"272","BL_wife_arrange_4","0.733"
"273","BL_wife_arrange_5","0.667"
"274","BL_child_num","0.545"
"275","BL_child_live","0.3"
